University                                 ,Department      ,Instructor             ,Overall Rating,Number of Ratings,Date      ,Rating ,Overall Quality,               ,Level of Difficulty,                   ,Course       ,Course Name,Is Software Engineering,For Credit?    ,Attendance               ,Textbook used     ,Would take again     ,Grade Received                ,Tags                                                                    ,Comments                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,Others found it useful                                                                                                                                                                                                                                                                                                                                          ,
Stanford University                        ,Computer Science,Alex Aiken             ,3.5           ,1                ,03/11/2013,GOOD   ,3.5            ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS143        ,           ,                       ,For Credit: N/A,Attendance: N/A          ,Textbook Used: No ,Would Take Again: N/A,Grade Received: N/A           ,                                                                        ,"Great teacher, tough assignments."                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,1 person found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,06/16/2019,AWESOME,5              ,OVERALL QUALITY,2                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Mandatory    ,Textbook Used: No ,Would Take Again: Yes,Grade Received: A             ,AMAZING LECTURES-RESPECTED-INSPIRATIONAL                                ,Best professor I've had in my entire undergraduate career. He is super passionate about coding at it shows. His lectures are organized. He does an amazing job of making such a hard and fast-paced class easy and manageable.                                                                                                                                                                                                                                                                                      ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,06/10/2019,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit: No ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES                                                        ,"I took his class on Youtube's CS50 channel, and I was amazed by his passion into coding. Really appreciate to have him teach me the basics of Computer Science."                                                                                                                                                                                                                                                                                                                                                   ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,04/10/2019,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit: No ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: Yes,Grade Received: Audit/No Grade,RESPECTED-AMAZING LECTURES-PARTICIPATION MATTERS                        ,Hands down the best professor I've ever had.                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,1 person found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/24/2019,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: A-            ,HILARIOUS-INSPIRATIONAL                                                 ,Good explanations. CS50 as a course could have been structured better.                                                                                                                                                                                                                                                                                                                                                                                                                                              ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,01/02/2019,AWESOME,5              ,OVERALL QUALITY,1                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: WD            ,SKIP CLASS? YOU WON'T PASS.-GET READY TO READ-TOUGH GRADER              ,"Extremely good professor at Harvard, one of the best. Learned all about what an interger was etc.. addition multiplication and even subtraction. You really have to study and have a love for cs."                                                                                                                                                                                                                                                                                                                 ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,10/16/2018,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES-RESPECTED-INSPIRATIONAL                                ,Professor Malan gives the best lectures I have experienced.                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,1 person found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,08/30/2018,AWESOME,5              ,OVERALL QUALITY,3                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit: Yes,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: Not sure yet  ,LOTS OF HOMEWORK-INSPIRATIONAL-AMAZING LECTURES                         ,"The best professor I have seen in my life, always well prepared with lectures well thought through. Makes the course material accessible and interesting. Highly recommended!"                                                                                                                                                                                                                                                                                                                                     ,1 person found this useful 1 person did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,07/16/2018,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50X        ,           ,                       ,For Credit: No ,Attendance: Not Mandatory,Textbook Used: No ,Would Take Again: Yes,Grade Received: A+            ,ACCESSIBLE OUTSIDE CLASS-AMAZING LECTURES-INSPIRATIONAL                 ,Amazing lectures and explanation skills.                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,5 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
Harvard University                         ,Computer Science,David Malan            ,4.7           ,54               ,07/13/2018,AWESOME,5              ,OVERALL QUALITY,4                  ,LEVEL OF DIFFICULTY,CS50         ,           ,                       ,For Credit: No ,Attendance: N/A          ,Textbook Used: No ,Would Take Again: Yes,Grade Received: N/A           ,AMAZING LECTURES-HILARIOUS-RESPECTED                                    ,"The best professor I've ever heard, would definitely like to take his other courses. David is so inspiring!"                                                                                                                                                                                                                                                                                                                                                                                                       ,0 people found this useful 0 people did not find this useful                                                                                                                                                                                                                                                                                                    ,report this rating
