University                        ,Department      ,Name                   ,Course No.
Harvard University                ,Computer Science,David Malan            ,CS75
Harvard University                ,Computer Science,David Malan            ,CSCIE75
Harvard University                ,Computer Science,David Malan            ,SIEL
University of California San Diego,Computer Science,William Griswold       ,CSE218
University of California San Diego,Computer Science,William Griswold       ,CSE110
University of Southern California ,Computer Science,Barry Boehm            ,CSCI510
University of Southern California ,Computer Science,Barry Boehm            ,CSCI577510
University of Southern California ,Computer Science,Barry Boehm            ,CS510
University of Southern California ,Computer Science,Barry Boehm            ,SE
University of Southern California ,Computer Science,Claire Bono            ,CSCI455
University of Southern California ,Computer Science,Claire Bono            ,CS455
University of Southern California ,Computer Science,Claire Bono            ,455X
University of Southern California ,Computer Science,Claire Bono            ,CSCI201
University of Southern California ,Computer Science,Shahram Ghandeharizadeh,CSCI585
University of Southern California ,Computer Science,William Halfond        ,CSCI310
University of Southern California ,Computer Science,William Halfond        ,ENGR102
University of Southern California ,Computer Science,William Halfond        ,CC310
University of Southern California ,Computer Science,William Halfond        ,CS310
University of Southern California ,Computer Science,William Halfond        ,CSCI 310
University of Southern California ,Computer Science,Supannika Koolmanojwong,CSCI577A
University of Southern California ,Computer Science,Supannika Koolmanojwong,CSCI577B
University of Southern California ,Computer Science,Supannika Koolmanojwong,CSCI477
University of Southern California ,Computer Science,Supannika Koolmanojwong,CSCI511
University of Southern California ,Computer Science,Supannika Koolmanojwong,CSCI577
University of Southern California ,Computer Science,Bhaskar Krishnamachari ,EE250
University of Southern California ,Computer Science,Bhaskar Krishnamachari ,EE465
University of Southern California ,Computer Science,Bhaskar Krishnamachari ,EE450EE59
University of Southern California ,Computer Science,Nenad Medvidovic       ,CSCI578
University of Southern California ,Computer Science,Nenad Medvidovic       ,CS578
University of Southern California ,Computer Science,Nenad Medvidovic       ,CS589
University of Southern California ,Computer Science,Nenad Medvidovic       ,CSCI589
University of Southern California ,Computer Science,Nenad Medvidovic       ,578
University of Southern California ,Computer Science,Nenad Medvidovic       ,ARCHITECTURE
University of Southern California ,Computer Science,Jeffrey Miller         ,201L
University of Southern California ,Computer Science,Jeffrey Miller         ,CSCI201L
